Business,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024
AAVAS Financiers,,,,,,,,,,,,,,,,,,,,,,,5.08,4.98,3.93,3.49,2.99,2.76,2.39,,,,,,
Aegis Logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,1.88
Ambuja Cements,,,,,,,,1.14,1.17,1.31,1.58,1.62,1.93,2.16,2.12,2.16,2.15,2.47,2.25,2.09,1.76,1.56,1.56,1.44,,,,1.11,,,,,,,
Ami Organics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,
Anant Raj,,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,2.46,,,,,,,,,,
Apollo Hospitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,2.26,1.94
Apollo Tyres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,1.52,1.38,1.5,1.91,
Ashok Leyland,,,,,,,,1.38,,,,,,,1.08,1.14,1.12,,,,,,,,,,,,,,,,,,1.88
Astral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,2.32,2.54
AU Small Finance,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,1.36,1.26,,,,,,,
Bajaj Auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,1.47,1.19,
Bajaj Finance,,2.65,2.61,2.61,2.6,2.49,3.99,3.94,3.81,3.55,3.63,3.71,3.69,3.75,3.72,4.65,4.51,4.36,4.26,4.38,4.29,4.17,3.4,3.22,3.26,3.35,3.42,3.49,3.46,,3.4,,,,
Bharat Forge,1.01,1.14,1.1,,,,,,,,,,,,,,,,1.11,1.01,,,,1.53,1.44,1.29,1.16,1.27,,,,,,1.24,2.06
B H E L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,1.48
Bharti Airtel,,,,,,,,,,,,,,3.77,3.77,,,,1.52,1.34,1.33,1.23,1.41,1.39,1.47,1.52,1.18,1.23,1.04,1,,,1.42,1.25,
Castrol India,,1.14,1.18,1.18,1.23,1.05,1.05,1.18,1.08,,,,,,,,,,,,,,1.17,1.17,1.17,1.19,1.1,1.1,1.05,1.06,,,,,1.75
Cera Sanitary.,,,,,,,,,,,,,,,,,,,,,,,2.67,3.09,3.08,2.07,2.13,2.02,1.98,1.98,1.96,1.96,2.05,2.72,
CIE Automotive,,2.03,2.03,1.74,1.73,1.71,1.71,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cipla,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,1.1,1.21,1.12,1.13,1.02,,,,
Colgate-Palmoliv,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,1.54,1.64,1.55,1.36,,,,
Container Corpn.,,1.98,1.98,2.32,2.29,2.16,1.89,1.89,1.38,,,,,,,,1.11,1.8,1.62,1.2,,,,,1.06,1.41,1.03,1.09,1.1,1.06,,,,,
Craftsman Auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,1.87
D B Corp,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.16,,,,,,,,,,,,,,,,,,,,,,,,,
Dalmia BharatLtd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,1.14,,,
Data Pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67,6.67,6.42
Devyani Intl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,1.14,
Dhanuka Agritech,,,,,,,,,,,,,,,,,,,,,,3.43,3.29,2.85,2.39,2.45,2.49,2.49,2.45,1.96,,,,,
Digidrive Dist.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,,,
Divi's Lab.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77
DLF,,3.81,3.81,3.81,3.81,3.81,3.81,4.65,4.71,4.71,4.48,4.11,3.59,,,,,,,,,,,,,,,,,,,,1.07,1,1.05
Dr Reddy's Labs,,1.48,1.39,1.33,1.25,1.11,1.02,,,,,,,,,,,1.07,1.18,1.51,1.67,1.77,1.7,1.71,1.81,2.03,1.86,1.36,1.3,1.24,1.21,1.07,1.02,,
Eicher Motors,,,,,,,,,,,,,1.35,1.6,1.49,1.46,1.51,1.83,1.53,1.07,,,,,,,1.28,1.47,1.42,1.63,1.42,1.68,1.03,,
Endurance Tech.,,,,,,,,,,,,,1.73,1.81,1.89,1.88,1.8,1.2,,,,,,,,,,,,,,,,,
Entero Healthcar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.03,5.93,6.22
Equitas Sma. Fin,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.52,2.57,2.57,1.61,1.18,,,,,
Gayatri Highways,,,,,,,,,,3.68,3.32,2.44,2.21,2.2,2.2,,,,,,,,,,,,,,,,,,,,
Gland Pharma,,,,,,,,,,,,,,,,,,,,2.66,2.23,1.54,1.21,1.11,,1.05,,,,,,,,,
Glenmark Pharma.,,1.11,1.01,1.16,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go Fashion (I),,,,,,,,,,,,,,,,,,,,,,,,1.62,,,,,,,,,,,
Godrej Consumer,,,,,,,,,,1.01,1.06,1.11,1.11,1.26,1.32,1.12,1,1.04,,,,1.07,1.26,1.17,1.05,1.02,1.07,1.1,1.16,1.15,1.02,1.17,1.21,,
Godrej Propert.,,,,,,,,,,,,,,1.43,1.7,1.7,1.69,1.69,1.65,1.21,2.41,2.41,2.41,2.5,2.5,2.47,2.59,2.57,2.55,2.57,2.66,2.61,2.61,2.61,2.84
Grasim Inds,,,,,1.02,1.24,,,,1.11,1.3,1.12,1.18,1.3,1.36,1.33,,,,,,,,,,,,,,,,,,,
Happiest Minds,,,,,,,,,,,,,,,,,,,1.4,2.06,2.57,1.88,1.35,,,,,,,,,,,,
Hathway Cable,,,,,,,,,,,,,,,,,,,,,,1.79,1.79,1.79,1.79,1.87,1.87,1.67,1.67,1.67,1.67,1.67,1.22,1.22,
Havells India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,1.29
HDFC Bank,,1.38,1.38,1.37,1.44,1.37,1.37,1.39,1.35,1.33,,,1.25,1.25,1.28,1.27,1.26,,,,,,,,,,,,,,2.28,2.32,2.34,2.1,2.41
